time	specie
0.20	mirim
0.25	mirim
0.83	mirim
0.16	mirim
0.22	mirim
0.12	mirim
0.17	mirim
0.87	mirim
0.12	mirim
0.18	mirim
0.82	mirim
0.15	mirim
0.80	mirim
0.08	mirim
0.78	mirim
0.21	mirim
0.24	mirim
0.21	mirim
0.13	mirim
0.19	mirim
0.23	mirim
0.94	mirim
0.94	mirim
0.31	mirim
0.05	mirim
0.93	mirim
0.20	mirim
0.97	mirim
0.16	mirim
0.16	mirim
0.15	mirim
0.09	mirim
0.06	mirim
0.16	mirim
0.08	mirim
0.14	mirim
0.19	mirim
0.12	mirim
0.24	mirim
0.05	mirim
0.94	mirim
0.54	mirim
0.16	mirim
0.48	mirim
0.20	mirim
0.83	mirim
0.23	mirim
0.52	mirim
0.85	mirim
0.21	mirim
0.04	mirim
0.14	mirim
0.34	mirim
0.99	mirim
0.94	mirim
0.03	mirim
0.99	mirim
0.93	mirim
0.19	mirim
0.09	mirim
0.22	mirim
0.38	mirim
0.11	mirim
0.88	mirim
0.22	mirim
0.12	mirim
0.08	mirim
0.27	mirim
0.14	mirim
0.19	mirim
0.22	mirim
0.17	mirim
0.85	mirim
0.93	mirim
0.14	mirim
0.81	mirim
0.78	mirim
0.13	mirim
0.01	mirim
0.04	mirim
0.77	mirim
0.24	mirim
0.06	mirim
0.39	mirim
0.03	mirim
0.05	mirim
0.53	mirim
0.78	mirim
0.19	mirim
0.77	mirim
0.79	mirim
0.77	mirim
0.24	mirim
0.42	mirim
0.84	mirim
0.81	mirim
0.75	mirim
0.23	mirim
0.04	mirim
0.46	mirim
0.97	mirim
0.27	mirim
0.21	mirim
0.38	mirim
0.93	mirim
0.14	mirim
0.22	mirim
0.90	mirim
0.21	mirim
0.81	mirim
0.88	mirim
0.35	mirim
0.88	mirim
0.33	mirim
0.20	mirim
0.92	mirim
0.18	mirim
0.93	mirim
0.89	mirim
0.21	mirim
0.90	mirim
0.18	mirim
0.12	mirim
0.81	mirim
0.10	mirim
0.52	mirim
0.26	mirim
0.10	mirim
0.21	mirim
0.17	mirim
0.95	mirim
0.13	mirim
0.90	mirim
0.24	mirim
0.87	mirim
0.18	mirim
0.82	mirim
0.36	mirim
0.89	mirim
0.97	mirim
0.71	mirim
0.14	mirim
0.24	mirim
0.04	mirim
0.10	mirim
0.18	mirim
0.24	mirim
0.04	mirim
0.19	mirim
0.02	mirim
0.20	mirim
0.90	mirim
0.08	mirim
0.02	mirim
0.99	mirim
0.91	mirim
0.23	mirim
0.24	mirim
0.98	mirim
0.35	mirim
0.99	mirim
0.17	mirim
0.96	mirim
0.45	mirim
0.22	mirim
0.16	mirim
0.93	mirim
0.40	mirim
0.86	mirim
0.30	mirim
0.20	mirim
0.23	mirim
0.98	mirim
0.95	mirim
0.05	mirim
0.94	mirim
0.09	mirim
0.22	mirim
0.29	mirim
0.34	mirim
0.91	mirim
0.91	mirim
0.96	mirim
0.13	mirim
0.31	mirim
0.22	mirim
0.22	mirim
0.05	mirim
0.18	mirim
0.20	mirim
0.27	mirim
0.04	mirim
0.14	mirim
0.16	mirim
0.44	mirim
0.91	mirim
0.18	mirim
0.80	mirim
0.12	mirim
0.17	mirim
0.19	mirim
0.02	mirim
0.10	mirim
0.20	mirim
0.05	mirim
0.02	mirim
0.16	mirim
0.89	mirim
0.96	mirim
0.09	mirim
0.24	mirim
0.88	mirim
0.26	mirim
1.00	mirim
0.97	mirim
0.06	mirim
0.21	mirim
0.00	mirim
0.14	mirim
0.77	mirim
0.42	mirim
0.89	mirim
0.85	mirim
0.03	mirim
0.06	mirim
0.11	mirim
0.02	mirim
0.88	mirim
0.05	mirim
0.98	mirim
0.24	mirim
0.24	mirim
0.85	mirim
0.08	mirim
0.09	mirim
0.62	mirim
0.19	mirim
0.00	mirim
0.20	mirim
0.26	mirim
0.02	mirim
0.13	mirim
0.37	mirim
0.20	mirim
0.26	mirim
0.53	mirim
0.16	mirim
0.93	mirim
0.78	mirim
0.17	mirim
0.17	mirim
0.09	mirim
0.14	mirim
0.09	mirim
0.92	mirim
0.92	mirim
0.91	mirim
0.02	mirim
0.91	mirim
0.24	mirim
0.04	mirim
0.79	mirim
0.79	mirim
0.90	mirim
0.20	mirim
0.08	mirim
0.96	mirim
0.90	mirim
0.15	mirim
1.00	mirim
0.06	mirim
0.01	mirim
0.53	mirim
0.15	mirim
0.81	mirim
0.53	mirim
0.10	mirim
0.07	mirim
0.45	mirim
0.38	mirim
1.00	mirim
0.44	mirim
0.84	mirim
0.37	mirim
0.48	mirim
0.62	mirim
0.82	mirim
0.23	mirim
0.94	mirim
0.18	mirim
0.22	mirim
0.23	mirim
0.99	mirim
0.32	mirim
0.24	mirim
0.92	mirim
0.33	mirim
0.01	mirim
0.98	mirim
0.23	mirim
0.26	mirim
0.88	mirim
0.26	mirim
1.00	mirim
0.05	mirim
0.22	mirim
0.96	mirim
0.43	mirim
0.23	mirim
0.25	mirim
0.75	mirim
0.01	mirim
0.22	mirim
0.85	mirim
0.01	mirim
0.35	mirim
0.90	mirim
0.75	mirim
0.27	mirim
0.37	mirim
0.97	mirim
0.01	mirim
0.24	mirim
0.80	mirim
0.15	mirim
0.94	mirim
0.22	mirim
0.25	mirim
0.99	mirim
0.77	mirim
0.24	mirim
0.87	mirim
0.26	mirim
0.92	mirim
0.19	mirim
0.03	mirim
0.95	mirim
0.89	mirim
0.98	mirim
0.20	mirim
0.15	mirim
0.28	mirim
0.03	mirim
0.86	mirim
0.64	mirim
0.76	mirim
0.09	mirim
0.17	mirim
0.40	mirim
0.27	mirim
0.08	mirim
0.01	mirim
0.02	mirim
0.17	mirim
0.02	mirim
0.87	mirim
0.08	mirim
0.10	mirim
0.09	mirim
0.93	mirim
0.06	mirim
0.76	mirim
0.11	mirim
0.77	mirim
0.84	mirim
0.23	mirim
0.82	mirim
0.34	mirim
0.96	mirim
0.91	mirim
0.87	mirim
0.07	mirim
0.21	mirim
0.05	mirim
0.76	mirim
0.79	mirim
0.26	mirim
0.05	mirim
0.77	mirim
0.77	mirim
0.02	mirim
0.09	mirim
0.58	mirim
0.86	mirim
0.07	mirim
0.98	mirim
0.11	mirim
0.75	mirim
0.97	mirim
0.83	mirim
0.06	mirim
0.71	mirim
0.58	mirim
0.79	mirim
0.10	mirim
0.58	mirim
0.05	mirim
0.10	mirim
0.14	mirim
0.05	mirim
0.14	mirim
0.38	mirim
0.02	mirim
0.19	mirim
0.07	mirim
0.04	mirim
0.98	mirim
0.14	mirim
0.28	mirim
0.87	mirim
0.26	mirim
0.93	mirim
0.00	mirim
0.70	mirim
0.58	mirim
0.80	mirim
0.20	mirim
0.46	mirim
0.00	mirim
0.24	mirim
0.18	mirim
0.01	mirim
0.69	mirim
0.30	mirim
0.93	mirim
0.53	mirim
0.03	mirim
0.71	mirim
0.32	mirim
0.25	mirim
0.07	mirim
0.71	mirim
0.40	mirim
0.02	mirim
0.39	mirim
0.03	mirim
0.18	mirim
0.02	mirim
0.82	mirim
0.93	mirim
0.27	mirim
0.18	mirim
0.96	mirim
0.94	mirim
0.33	mirim
0.89	mirim
0.83	mirim
0.90	mirim
0.03	mirim
0.98	mirim
0.84	mirim
0.10	mirim
0.11	mirim
0.93	mirim
0.20	mirim
0.14	mirim
0.04	mirim
0.95	mirim
0.75	mirim
0.82	mirim
0.75	mirim
0.95	mirim
0.32	mirim
0.19	mirim
1.00	mirim
0.08	mirim
0.00	mirim
0.92	mirim
0.19	mirim
0.21	mirim
0.03	mirim
0.20	mirim
0.22	mirim
0.84	mirim
0.79	mirim
0.21	mirim
0.08	mirim
0.08	mirim
1.00	mirim
0.89	mirim
0.99	mirim
1.00	mirim
0.22	mirim
0.07	mirim
0.22	mirim
0.76	mirim
0.26	mirim
0.02	mirim
0.98	mirim
0.24	mirim
0.13	mirim
1.00	mirim
0.99	mirim
0.98	mirim
0.99	mirim
0.21	mirim
0.92	mirim
0.73	mirim
1.00	mirim
0.25	mirim
0.03	mirim
0.28	mirim
0.01	mirim
0.85	mirim
0.78	mirim
0.18	mirim
0.05	mirim
0.21	mirim
0.05	mirim
0.22	mirim
0.98	mirim
0.27	mirim
0.48	mirim
0.04	mirim
0.27	mirim
0.90	mirim
0.02	mirim
0.21	mirim
0.06	mirim
0.15	mirim
0.98	mirim
0.18	mirim
0.20	mirim
0.22	mirim
0.11	mirim
0.88	mirim
0.57	mirim
0.17	mirim
0.09	mirim
0.84	mirim
0.84	mirim
0.23	mirim
0.16	mirim
0.96	mirim
0.04	mirim
0.95	mirim
0.97	mirim
0.41	mirim
0.15	mirim
0.06	mirim
0.97	mirim
0.16	mirim
0.75	mirim
0.20	mirim
0.98	mirim
0.87	mirim
0.88	mirim
0.83	mirim
0.80	mirim
0.02	mirim
0.18	mirim
0.35	mirim
0.84	mirim
0.99	mirim
0.98	mirim
0.99	mirim
0.96	mirim
1.00	mirim
0.06	mirim
0.18	mirim
0.72	mirim
0.05	mirim
0.31	mirim
0.21	mirim
0.86	mirim
0.05	mirim
0.23	mirim
0.88	mirim
0.10	mirim
0.92	mirim
0.01	mirim
0.55	mirim
1.00	mirim
0.81	mirim
0.97	mirim
0.29	mirim
0.20	mirim
0.02	mirim
0.23	mirim
0.10	mirim
0.06	mirim
1.00	mirim
0.83	mirim
0.79	mirim
0.32	mirim
0.97	mirim
0.98	mirim
0.04	mirim
0.51	mirim
0.15	mirim
0.99	mirim
0.08	mirim
0.99	mirim
0.19	mirim
0.94	mirim
0.24	mirim
0.89	mirim
0.33	mirim
0.15	mirim
0.17	mirim
0.19	mirim
0.09	mirim
0.40	mirim
0.22	mirim
0.66	mirim
0.97	mirim
0.09	mirim
0.23	mirim
0.12	mirim
0.28	mirim
0.88	mirim
0.24	mirim
0.97	mirim
0.83	mirim
0.21	mirim
0.91	mirim
0.82	mirim
0.80	mirim
0.98	mirim
0.09	mirim
0.14	mirim
0.87	mirim
0.18	mirim
0.28	mirim
0.08	mirim
0.16	mirim
0.28	mirim
0.31	mirim
0.12	mirim
0.38	mirim
0.12	mirim
0.12	mirim
0.33	mirim
0.38	mirim
0.20	mirim
0.19	mirim
0.20	mirim
0.30	mirim
0.15	mirim
0.03	mirim
0.22	mirim
0.93	mirim
0.97	mirim
0.08	mirim
0.32	mirim
0.92	mirim
0.14	mirim
0.29	mirim
0.28	mirim
0.10	mirim
0.91	mirim
0.38	mirim
0.91	mirim
0.23	mirim
0.46	mirim
0.34	mirim
0.65	mirim
0.15	mirim
0.36	mirim
0.06	mirim
0.19	mirim
0.05	mirim
0.85	mirim
0.04	mirim
0.08	mirim
0.18	mirim
0.33	mirim
0.09	mirim
0.03	mirim
0.21	mirim
0.24	mirim
0.87	mirim
0.26	mirim
0.92	mirim
0.05	mirim
0.24	mirim
0.99	mirim
0.21	mirim
0.02	mirim
0.88	mirim
0.52	mirim
0.07	mirim
0.78	mirim
0.22	mirim
0.06	mirim
0.22	mirim
0.12	mirim
0.94	mirim
0.09	mirim
0.96	mirim
0.04	mirim
0.18	mirim
0.18	mirim
0.14	mirim
0.26	mirim
0.18	mirim
0.96	mirim
0.20	mirim
0.16	mirim
0.37	mirim
1.00	mirim
0.45	mirim
0.37	mirim
0.05	mirim
0.14	mirim
0.13	mirim
0.20	mirim
0.10	mirim
0.20	mirim
0.80	mirim
0.16	mirim
0.15	mirim
0.33	mirim
0.07	mirim
0.98	mirim
0.09	mirim
0.21	mirim
0.29	mirim
0.06	mirim
0.32	mirim
0.15	mirim
0.92	mirim
0.05	mirim
0.97	mirim
0.23	mirim
0.91	mirim
0.13	mirim
0.00	mirim
0.31	mirim
0.06	mirim
0.42	mirim
0.14	mirim
0.95	mirim
0.12	mirim
0.98	mirim
0.21	mirim
0.41	mirim
0.28	mirim
0.40	mirim
0.03	mirim
0.20	mirim
0.78	mirim
0.09	mirim
0.95	mirim
0.20	mirim
0.12	mirim
0.90	mirim
0.17	mirim
0.00	mirim
0.54	mirim
0.14	mirim
0.17	mirim
0.19	mirim
0.06	mirim
0.29	mirim
0.04	mirim
0.30	mirim
0.09	mirim
0.29	mirim
0.00	mirim
0.84	mirim
